original_split,row_index,new_split,filename,speaker_id,region,province
train,0,train,11_0001.wav,spk_11_0001,North,11
train,1,train,11_0002.wav,spk_11_0001,North,11
train,2,train,11_0003.wav,spk_11_0002,North,11
train,3,train,11_0004.wav,spk_11_0002,North,11
train,4,train,11_0005.wav,spk_11_0002,North,11
train,5,train,11_0006.wav,spk_11_0003,North,11
train,6,train,11_0007.wav,spk_11_0004,North,11
train,7,train,11_0008.wav,spk_11_0005,North,11
train,8,train,11_0009.wav,spk_11_0006,North,11
train,9,train,11_0010.wav,spk_11_0007,North,11
train,10,train,11_0011.wav,spk_11_0008,North,11
train,11,train,11_0012.wav,spk_11_0008,North,11
train,12,train,11_0013.wav,spk_11_0009,North,11
train,13,train,11_0014.wav,spk_11_0009,North,11
train,14,train,11_0015.wav,spk_11_0009,North,11
train,15,train,11_0016.wav,spk_11_0010,North,11
train,16,train,11_0017.wav,spk_11_0011,North,11
train,17,train,11_0018.wav,spk_11_0011,North,11
train,18,train,11_0019.wav,spk_11_0011,North,11
train,19,train,11_0020.wav,spk_11_0012,North,11
train,20,train,11_0021.wav,spk_11_0013,North,11
train,21,train,11_0022.wav,spk_11_0013,North,11
train,22,train,11_0023.wav,spk_11_0014,North,11
train,23,train,11_0024.wav,spk_11_0014,North,11
train,24,train,11_0025.wav,spk_11_0015,North,11
train,25,train,11_0026.wav,spk_11_0016,North,11
train,26,train,11_0027.wav,spk_11_0017,North,11
train,27,train,11_0028.wav,spk_11_0018,North,11
train,28,train,11_0029.wav,spk_11_0019,North,11
train,29,train,11_0030.wav,spk_11_0020,North,11
train,30,train,11_0031.wav,spk_11_0021,North,11
train,31,train,11_0032.wav,spk_11_0022,North,11
train,32,train,11_0033.wav,spk_11_0023,North,11
train,33,train,11_0034.wav,spk_11_0024,North,11
train,34,train,11_0035.wav,spk_11_0024,North,11
train,35,train,11_0036.wav,spk_11_0025,North,11
train,36,train,11_0037.wav,spk_11_0026,North,11
train,37,train,11_0038.wav,spk_11_0027,North,11
train,38,train,11_0039.wav,spk_11_0028,North,11
train,39,train,11_0040.wav,spk_11_0029,North,11
train,40,train,11_0041.wav,spk_11_0029,North,11
train,41,train,11_0042.wav,spk_11_0030,North,11
train,42,train,11_0043.wav,spk_11_0030,North,11
train,43,train,11_0044.wav,spk_11_0030,North,11
train,44,train,11_0045.wav,spk_11_0031,North,11
train,45,train,11_0046.wav,spk_11_0031,North,11
train,46,train,11_0047.wav,spk_11_0032,North,11
train,47,train,11_0048.wav,spk_11_0032,North,11
train,48,train,11_0049.wav,spk_11_0033,North,11
train,49,train,11_0050.wav,spk_11_0034,North,11
train,50,train,11_0051.wav,spk_11_0035,North,11
train,51,train,11_0052.wav,spk_11_0035,North,11
train,52,train,11_0053.wav,spk_11_0036,North,11
train,53,train,11_0054.wav,spk_11_0036,North,11
train,54,train,11_0055.wav,spk_11_0037,North,11
train,55,train,11_0056.wav,spk_11_0038,North,11
train,56,train,11_0057.wav,spk_11_0039,North,11
train,57,train,11_0058.wav,spk_11_0040,North,11
train,58,train,11_0059.wav,spk_11_0041,North,11
train,59,train,11_0060.wav,spk_11_0042,North,11
train,60,train,11_0061.wav,spk_11_0042,North,11
train,61,train,11_0062.wav,spk_11_0043,North,11
train,62,train,11_0063.wav,spk_11_0043,North,11
train,63,train,11_0064.wav,spk_11_0043,North,11
train,64,train,11_0065.wav,spk_11_0044,North,11
train,65,train,11_0066.wav,spk_11_0044,North,11
train,66,train,11_0067.wav,spk_11_0044,North,11
train,67,train,11_0068.wav,spk_11_0044,North,11
train,68,train,11_0069.wav,spk_11_0045,North,11
train,69,train,11_0070.wav,spk_11_0046,North,11
train,70,train,11_0071.wav,spk_11_0047,North,11
train,71,train,11_0072.wav,spk_11_0047,North,11
train,72,train,11_0073.wav,spk_11_0048,North,11
train,73,train,11_0074.wav,spk_11_0049,North,11
train,74,train,11_0075.wav,spk_11_0050,North,11
train,75,train,11_0076.wav,spk_11_0050,North,11
train,76,train,11_0077.wav,spk_11_0051,North,11
train,77,train,11_0078.wav,spk_11_0052,North,11
train,78,train,11_0079.wav,spk_11_0053,North,11
train,79,train,11_0080.wav,spk_11_0053,North,11
train,80,train,11_0081.wav,spk_11_0054,North,11
train,81,train,11_0082.wav,spk_11_0055,North,11
train,82,train,11_0083.wav,spk_11_0056,North,11
train,83,train,11_0084.wav,spk_11_0057,North,11
train,84,train,11_0085.wav,spk_11_0058,North,11
train,85,train,11_0086.wav,spk_11_0058,North,11
train,86,train,11_0087.wav,spk_11_0059,North,11
train,87,train,11_0088.wav,spk_11_0060,North,11
train,88,train,11_0089.wav,spk_11_0061,North,11
train,89,train,11_0090.wav,spk_11_0062,North,11
train,90,train,11_0091.wav,spk_11_0062,North,11
train,91,train,11_0092.wav,spk_11_0063,North,11
train,92,train,11_0093.wav,spk_11_0063,North,11
train,93,train,11_0094.wav,spk_11_0063,North,11
train,94,train,11_0095.wav,spk_11_0064,North,11
train,95,train,11_0096.wav,spk_11_0065,North,11
train,96,train,11_0097.wav,spk_11_0065,North,11
train,97,train,11_0098.wav,spk_11_0066,North,11
train,98,train,11_0099.wav,spk_11_0067,North,11
train,99,train,11_0100.wav,spk_11_0067,North,11
train,100,train,11_0101.wav,spk_11_0068,North,11
train,101,train,11_0102.wav,spk_11_0069,North,11
train,102,train,11_0103.wav,spk_11_0070,North,11
train,103,train,11_0104.wav,spk_11_0071,North,11
train,104,train,11_0105.wav,spk_11_0071,North,11
train,105,train,11_0106.wav,spk_11_0072,North,11
train,106,train,11_0107.wav,spk_11_0072,North,11
train,107,train,11_0108.wav,spk_11_0072,North,11
train,108,train,11_0109.wav,spk_11_0072,North,11
train,109,train,11_0110.wav,spk_11_0072,North,11
train,110,train,11_0111.wav,spk_11_0073,North,11
train,111,train,11_0112.wav,spk_11_0074,North,11
train,112,train,11_0113.wav,spk_11_0075,North,11
train,113,train,11_0114.wav,spk_11_0076,North,11
train,114,train,11_0115.wav,spk_11_0077,North,11
train,115,train,11_0116.wav,spk_11_0078,North,11
train,116,train,11_0117.wav,spk_11_0079,North,11
train,117,train,11_0118.wav,spk_11_0080,North,11
train,118,train,11_0119.wav,spk_11_0080,North,11
train,119,train,11_0120.wav,spk_11_0081,North,11
train,120,train,11_0121.wav,spk_11_0082,North,11
train,121,train,11_0122.wav,spk_11_0082,North,11
train,122,train,11_0123.wav,spk_11_0082,North,11
train,123,train,11_0124.wav,spk_11_0083,North,11
train,124,train,11_0125.wav,spk_11_0083,North,11
train,125,train,11_0126.wav,spk_11_0083,North,11
train,126,train,11_0127.wav,spk_11_0084,North,11
train,127,train,11_0128.wav,spk_11_0084,North,11
train,128,train,11_0129.wav,spk_11_0085,North,11
train,129,train,11_0130.wav,spk_11_0085,North,11
train,130,train,11_0131.wav,spk_11_0085,North,11
train,131,train,11_0132.wav,spk_11_0086,North,11
train,132,train,11_0133.wav,spk_11_0086,North,11
train,133,train,11_0134.wav,spk_11_0086,North,11
train,134,train,11_0135.wav,spk_11_0086,North,11
train,135,train,11_0136.wav,spk_11_0087,North,11
train,136,train,11_0137.wav,spk_11_0087,North,11
train,137,train,11_0138.wav,spk_11_0087,North,11
train,138,train,11_0139.wav,spk_11_0087,North,11
train,139,train,11_0140.wav,spk_11_0088,North,11
train,140,train,11_0141.wav,spk_11_0088,North,11
train,141,train,11_0142.wav,spk_11_0089,North,11
train,142,train,11_0143.wav,spk_11_0089,North,11
